anio,clae2,empleo,establecimientos,exportadoras,salario_promedio_anual_deflactado,meses_completos,empleo_total_geo,establecimientos_total_geo,share_empleo,densidad_estab,intensidad_export,provincia_id,provincia
2022,63,678.0,161.0,0.0,0.0,0,2108119.0,302925.0,0.00032161,0.23746313,0.0,6,Buenos Aires
2022,72,2219.0,242.0,55.0,0.0,0,2108119.0,302925.0,0.0010526,0.10905813,0.22727273,6,Buenos Aires
2022,73,2830.0,572.0,4.0,0.0,0,2108119.0,302925.0,0.00134243,0.20212014,0.00699301,6,Buenos Aires
2022,78,28972.0,2769.0,0.0,0.0,0,2108119.0,302925.0,0.01374306,0.09557504,0.0,6,Buenos Aires
2022,88,1434.0,196.0,0.0,0.0,0,2108119.0,302925.0,0.00068023,0.13668061,0.0,6,Buenos Aires
2022,90,1108.0,210.0,3.0,0.0,0,2108119.0,302925.0,0.00052559,0.18953069,0.01428571,6,Buenos Aires
2022,95,843.0,407.0,0.0,0.0,0,2108119.0,302925.0,0.00039988,0.48279953,0.0,6,Buenos Aires
2022,6,4252.0,148.0,142.0,0.0,0,2108119.0,302925.0,0.00201696,0.03480715,0.95945946,6,Buenos Aires
2022,8,2890.0,240.0,22.0,0.0,0,2108119.0,302925.0,0.00137089,0.08304498,0.09166667,6,Buenos Aires
2022,9,588.0,102.0,59.0,0.0,0,2108119.0,302925.0,0.00027892,0.17346939,0.57843137,6,Buenos Aires
2022,12,2287.0,19.0,13.0,0.0,0,2108119.0,302925.0,0.00108485,0.00830783,0.68421053,6,Buenos Aires
2022,19,2350.0,112.0,62.0,0.0,0,2108119.0,302925.0,0.00111474,0.04765957,0.55357143,6,Buenos Aires
2022,39,159.0,28.0,0.0,0.0,0,2108119.0,302925.0,7.542e-05,0.17610063,0.0,6,Buenos Aires
2022,50,1283.0,212.0,68.0,0.0,0,2108119.0,302925.0,0.0006086,0.16523772,0.32075472,6,Buenos Aires
2022,51,4195.0,109.0,22.0,0.0,0,2108119.0,302925.0,0.00198993,0.02598331,0.20183486,6,Buenos Aires
2022,37,766.0,84.0,0.0,0.0,0,2108119.0,302925.0,0.00036336,0.10966057,0.0,6,Buenos Aires
2022,99,79.0,29.0,0.0,0.0,0,2108119.0,302925.0,3.747e-05,0.36708861,0.0,6,Buenos Aires
2022,7,7.0,4.0,0.0,0.0,0,2108119.0,302925.0,3.32e-06,0.57142857,0.0,6,Buenos Aires
2022,97,9.0,8.0,0.0,0.0,0,2108119.0,302925.0,4.27e-06,0.88888889,0.0,6,Buenos Aires
2022,5,26.0,2.0,0.0,0.0,0,2108119.0,302925.0,1.233e-05,0.07692308,0.0,6,Buenos Aires
2022,1,2110.0,374.0,23.0,0.0,0,34191.0,5047.0,0.06171215,0.17725118,0.06149733,10,Catamarca
2022,15,226.0,18.0,4.0,0.0,0,34191.0,5047.0,0.00660993,0.07964602,0.22222222,10,Catamarca
2022,21,38.0,11.0,10.0,0.0,0,34191.0,5047.0,0.0011114,0.28947368,0.90909091,10,Catamarca
2022,41,1272.0,179.0,4.0,0.0,0,34191.0,5047.0,0.03720277,0.14072327,0.02234637,10,Catamarca
2022,43,621.0,67.0,0.0,0.0,0,34191.0,5047.0,0.01816267,0.1078905,0.0,10,Catamarca
2022,47,4826.0,1471.0,18.0,0.0,0,34191.0,5047.0,0.14114826,0.30480729,0.01223657,10,Catamarca
2022,49,1060.0,205.0,1.0,0.0,0,34191.0,5047.0,0.03100231,0.19339623,0.00487805,10,Catamarca
2022,55,248.0,73.0,0.0,0.0,0,34191.0,5047.0,0.00725337,0.29435484,0.0,10,Catamarca
2022,68,221.0,61.0,0.0,0.0,0,34191.0,5047.0,0.00646369,0.2760181,0.0,10,Catamarca
2022,77,75.0,24.0,0.0,0.0,0,34191.0,5047.0,0.00219356,0.32,0.0,10,Catamarca
2022,86,1698.0,230.0,0.0,0.0,0,34191.0,5047.0,0.04966219,0.13545347,0.0,10,Catamarca
2022,70,58.0,15.0,0.0,0.0,0,34191.0,5047.0,0.00169635,0.25862069,0.0,10,Catamarca
2022,80,498.0,40.0,2.0,0.0,0,34191.0,5047.0,0.01456524,0.08032129,0.05,10,Catamarca
2022,7,869.0,20.0,19.0,0.0,0,34191.0,5047.0,0.02541605,0.02301496,0.95,10,Catamarca
2022,8,790.0,26.0,16.0,0.0,0,34191.0,5047.0,0.0231055,0.03291139,0.61538462,10,Catamarca
2022,9,136.0,19.0,6.0,0.0,0,34191.0,5047.0,0.00397765,0.13970588,0.31578947,10,Catamarca
2022,10,1492.0,139.0,12.0,0.0,0,34191.0,5047.0,0.04363721,0.09316354,0.08633094,10,Catamarca
2022,20,78.0,15.0,8.0,0.0,0,34191.0,5047.0,0.0022813,0.19230769,0.53333333,10,Catamarca
2022,25,433.0,25.0,0.0,0.0,0,34191.0,5047.0,0.01266415,0.05773672,0.0,10,Catamarca
2022,42,3051.0,125.0,4.0,0.0,0,34191.0,5047.0,0.08923401,0.04097017,0.032,10,Catamarca
2022,46,1099.0,222.0,6.0,0.0,0,34191.0,5047.0,0.03214296,0.20200182,0.02702703,10,Catamarca
2022,53,158.0,36.0,28.0,0.0,0,34191.0,5047.0,0.0046211,0.2278481,0.77777778,10,Catamarca
2022,56,850.0,259.0,0.0,0.0,0,34191.0,5047.0,0.02486034,0.30470588,0.0,10,Catamarca
2022,61,156.0,26.0,12.0,0.0,0,34191.0,5047.0,0.0045626,0.16666667,0.46153846,10,Catamarca
2022,64,399.0,65.0,0.0,0.0,0,34191.0,5047.0,0.01166974,0.16290727,0.0,10,Catamarca
2022,65,263.0,69.0,0.0,0.0,0,34191.0,5047.0,0.00769208,0.26235741,0.0,10,Catamarca
2022,69,131.0,83.0,0.0,0.0,0,34191.0,5047.0,0.00383142,0.63358779,0.0,10,Catamarca
2022,74,38.0,10.0,0.0,0.0,0,34191.0,5047.0,0.0011114,0.26315789,0.0,10,Catamarca
